experiment_name,assignment_strategy,n_robots,max_number_of_targets,learning_rate,discount_factor,seed,mean_path_length,mean_distance_to_a_target,time_taken,steps_taken
main_experiment,greedy,1,2,0.9,0.99,1,17.5,17.5,6.5892767906188965,185
main_experiment,greedy,1,2,0.9,0.99,2,16.6,16.6,6.042735576629639,179
main_experiment,greedy,1,2,0.9,0.99,3,15.7,15.7,6.860790729522705,167
main_experiment,greedy,1,3,0.9,0.99,1,13.0,13.0,6.713390588760376,140
main_experiment,greedy,1,3,0.9,0.99,2,12.2,12.2,7.43537974357605,132
main_experiment,greedy,1,3,0.9,0.99,3,15.5,15.5,7.264807939529419,165
main_experiment,greedy,1,4,0.9,0.99,1,15.4,15.4,8.114239931106567,164
main_experiment,greedy,1,4,0.9,0.99,2,12.0,12.0,7.881297588348389,130
main_experiment,greedy,1,4,0.9,0.99,3,13.5,13.5,8.228289127349854,145
main_experiment,greedy,1,5,0.9,0.99,1,14.6,14.6,9.129042625427246,156
main_experiment,greedy,1,5,0.9,0.99,2,11.3,11.3,7.582911491394043,123
main_experiment,greedy,1,5,0.9,0.99,3,12.6,12.6,7.668722152709961,136
main_experiment,greedy,1,6,0.9,0.99,1,13.7,13.7,8.299054145812988,147
main_experiment,greedy,1,6,0.9,0.99,2,10.0,10.0,9.9999418258667,110
